Neutrino Depth [m]	Neutrino Min Angle [degrees]	Neutrino Max Angle [degrees]	Hydrophone Depth [m]	Hydrophone Distance [m]	Time of Arrival [s]	Signal Amplitude	Angle of Departure [degrees]	Angle of Arrival [degrees]	Surface Bounces	Bottom Bounces
1100.0	-89.0	-80.0	2300.0	100.0	2.23756981	(-7.508169627085165e-07+2.5149631398410995e-05j)	-88.3146286	88.2931137	1	0
1100.0	-89.0	-80.0	2300.0	100.0	2.23757625	(1.5029553099347416e-06+1.0042426319131994e-06j)	-88.2965927	88.2751923	1	0
1100.0	-89.0	-80.0	2400.0	100.0	2.39956427	(-7.084991513523199e-07+6.65408184032556e-07j)	-88.4408798	-88.4189835	1	1
1100.0	-89.0	-80.0	2400.0	100.0	2.39955306	(-7.049855187954637e-07-1.1145894280292555e-06j)	-88.4228439	-88.4003296	1	1
1100.0	-89.0	-80.0	2400.0	100.0	2.30236244	(-1.4516130077767274e-05+5.853112126179429e-06j)	-88.3687363	88.3469009	1	0
1100.0	-89.0	-80.0	2400.0	100.0	2.30238318	(7.708542425393779e-06-4.2063250901093325e-06j)	-88.3507004	88.3289719	1	0
1500.0	-89.0	-80.0	1400.0	100.0	3.31321001	(2.0669918192104915e-08+2.4300066081275406e-07j)	-88.8737488	-88.8749084	1	1
1500.0	-89.0	-80.0	1400.0	100.0	3.31318092	(3.608316923038054e-07-8.364958759825925e-08j)	-88.8557129	-88.8564072	1	1
1500.0	-89.0	-80.0	1400.0	100.0	1.9132781	(-4.655452162582473e-06-1.4322040931571216e-06j)	-88.0260544	88.0291824	1	0
1500.0	-89.0	-80.0	1400.0	100.0	1.91329217	(1.3402019664834053e-05+3.778325252555372e-05j)	-88.0080185	88.0114517	1	0
1500.0	-89.0	-80.0	1500.0	100.0	3.24771643	(-7.348550609965686e-08-3.80229481660685e-08j)	-88.8557129	-88.8564072	1	1
1500.0	-89.0	-80.0	1500.0	100.0	3.24770999	(-4.8200093829972845e-08-5.885269529950988e-07j)	-88.837677	-88.8360977	1	1
1500.0	-89.0	-80.0	1500.0	100.0	1.97873938	(3.2517486469117675e-05+3.1769079482388303e-06j)	-88.080162	88.0798721	1	0
1500.0	-89.0	-80.0	1500.0	100.0	1.97874439	(6.038443040132559e-06-4.97947863516493e-06j)	-88.0621262	88.0647812	1	0
1500.0	-89.0	-80.0	1600.0	100.0	3.18235779	(-5.640616441560467e-07-1.5238431409645214e-07j)	-88.8196411	-88.8178406	1	1
